login_id,msan,dt,total
a.faizan@unifi,PUJ,10/22/2014,1
a.faizan@unifi,PUJ,10/30/2014,1
a.faizan@unifi,PUJ,11/1/2014,1
a.faizan@unifi,PUJ,11/4/2014,1
a.faizan@unifi,PUJ,11/5/2014,1
a.faizan@unifi,PUJ,11/8/2014,1
a.faizan@unifi,PUJ,11/17/2014,1
a.faizan@unifi,PUJ,11/29/2014,1
a.faizan@unifi,PUJ,11/30/2014,1
a.faizan@unifi,PUJ,12/5/2014,1
a.faizan@unifi,PUJ,12/13/2014,1
a.faizan@unifi,PUJ,12/19/2014,1
a.faizan@unifi,PUJ,12/19/2014,1
a.faizan@unifi,PUJ,12/19/2014,4
a.faizan@unifi,PUJ,12/27/2014,4
a.faizan@unifi,PUJ,1/2/2015,2
a.faizan@unifi,PUJ,1/13/2015,1
a.faizan@unifi,PUJ,1/18/2015,1
a.faizan@unifi,PUJ,1/22/2015,1
a.faizan@unifi,PUJ,1/25/2015,1
a.faizan@unifi,PUJ,1/31/2015,1
a.faizan@unifi,PUJ,2/1/2015,1
a.faizan@unifi,PUJ,2/2/2015,2
a.faizan@unifi,PUJ,2/4/2015,1
a.faizan@unifi,PUJ,2/19/2015,2
a.faizan@unifi,PUJ,2/24/2015,2
a.faizan@unifi,PUJ,2/24/2015,1
a.faizan@unifi,PUJ,2/25/2015,1
a.faizan@unifi,PUJ,2/28/2015,1
a.faizan@unifi,PUJ,3/4/2015,1
a.faizan@unifi,PUJ,3/6/2015,1
a.faizan@unifi,PUJ,3/7/2015,1
a.faizan@unifi,PUJ,3/16/2015,1
a.faizan@unifi,PUJ,3/17/2015,1
a.faizan@unifi,PUJ,3/20/2015,2
a.faizan@unifi,PUJ,3/29/2015,1
a.faizan@unifi,PUJ,4/1/2015,1
a.faizan@unifi,PUJ,4/2/2015,1
a.faizan@unifi,PUJ,4/2/2015,1
a.faizan@unifi,PUJ,4/3/2015,1
a.faizan@unifi,PUJ,4/4/2015,1
a.faizan@unifi,PUJ,4/23/2015,1
a.faizan@unifi,PUJ,4/28/2015,1
a.faizan@unifi,PUJ,4/30/2015,1
a.faizan@unifi,PUJ,5/1/2015,1
a.faizan@unifi,PUJ,5/12/2015,1
a.faizan@unifi,PUJ,5/15/2015,1
a.faizan@unifi,PUJ,5/18/2015,1
a.faizan@unifi,PUJ,5/20/2015,1
a.faizan@unifi,PUJ,5/29/2015,1
a.faizan@unifi,PUJ,5/30/2015,1
a.faizan@unifi,PUJ,6/4/2015,1
a.faizan@unifi,PUJ,6/7/2015,2
a.faizan@unifi,PUJ,6/21/2015,1
a.faizan@unifi,PUJ,6/23/2015,2
a.faizan@unifi,PUJ,6/28/2015,1
a.faizan@unifi,PUJ,6/30/2015,3
a.faizan@unifi,PUJ,7/1/2015,1
a.faizan@unifi,PUJ,7/15/2015,1
a.faizan@unifi,PUJ,7/15/2015,1
a.faizan@unifi,PUJ,7/16/2015,1
a.faizan@unifi,PUJ,7/22/2015,1
a.faizan@unifi,PUJ,7/25/2015,1
a.faizan@unifi,PUJ,8/4/2015,2
a.faizan@unifi,PUJ,8/5/2015,2
a.faizan@unifi,PUJ,8/6/2015,1
a.faizan@unifi,PUJ,8/14/2015,1
a.faizan@unifi,PUJ,8/18/2015,3
a.faizan@unifi,PUJ,8/24/2015,1
a.faizan@unifi,PUJ,8/27/2015,1
a.faizan@unifi,PUJ,9/4/2015,1
a.faizan@unifi,PUJ,9/5/2015,1
a.faizan@unifi,PUJ,9/10/2015,1
a.faizan@unifi,PUJ,9/11/2015,2
a.faizan@unifi,PUJ,9/21/2015,1
a.faizan@unifi,PUJ,10/1/2015,5
a.faizan@unifi,PUJ,10/1/2015,2
a.faizan@unifi,PUJ,10/1/2015,1
a.faizan@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,11/17/2014,1
abd_halim@unifi,PUJ,11/24/2014,1
abd_halim@unifi,PUJ,11/25/2014,1
abd_halim@unifi,PUJ,11/26/2014,1
abd_halim@unifi,PUJ,11/27/2014,1
abd_halim@unifi,PUJ,11/28/2014,1
abd_halim@unifi,PUJ,11/29/2014,1
abd_halim@unifi,PUJ,11/30/2014,2
abd_halim@unifi,PUJ,12/1/2014,1
abd_halim@unifi,PUJ,12/2/2014,1
abd_halim@unifi,PUJ,12/3/2014,1
abd_halim@unifi,PUJ,12/4/2014,1
abd_halim@unifi,PUJ,12/5/2014,2
abd_halim@unifi,PUJ,12/6/2014,2
abd_halim@unifi,PUJ,12/9/2014,1
abd_halim@unifi,PUJ,12/10/2014,1
abd_halim@unifi,PUJ,12/13/2014,2
abd_halim@unifi,PUJ,12/14/2014,1
abd_halim@unifi,PUJ,12/15/2014,1
abd_halim@unifi,PUJ,12/16/2014,1
abd_halim@unifi,PUJ,12/17/2014,1
abd_halim@unifi,PUJ,12/18/2014,1
abd_halim@unifi,PUJ,12/19/2014,2
abd_halim@unifi,PUJ,12/19/2014,2
abd_halim@unifi,PUJ,12/19/2014,1
abd_halim@unifi,PUJ,12/19/2014,1
abd_halim@unifi,PUJ,12/19/2014,1
abd_halim@unifi,PUJ,12/19/2014,1
abd_halim@unifi,PUJ,12/20/2014,1
abd_halim@unifi,PUJ,12/21/2014,1
abd_halim@unifi,PUJ,12/22/2014,1
abd_halim@unifi,PUJ,12/23/2014,1
abd_halim@unifi,PUJ,12/24/2014,1
abd_halim@unifi,PUJ,12/26/2014,1
abd_halim@unifi,PUJ,1/1/2015,1
abd_halim@unifi,PUJ,1/2/2015,1
abd_halim@unifi,PUJ,1/3/2015,1
abd_halim@unifi,PUJ,1/5/2015,1
abd_halim@unifi,PUJ,1/7/2015,1
abd_halim@unifi,PUJ,1/8/2015,1
abd_halim@unifi,PUJ,1/11/2015,1
abd_halim@unifi,PUJ,1/13/2015,1
abd_halim@unifi,PUJ,1/17/2015,1
abd_halim@unifi,PUJ,1/18/2015,2
abd_halim@unifi,PUJ,1/21/2015,1
abd_halim@unifi,PUJ,1/22/2015,1
abd_halim@unifi,PUJ,1/23/2015,1
abd_halim@unifi,PUJ,1/24/2015,1
abd_halim@unifi,PUJ,1/25/2015,1
abd_halim@unifi,PUJ,1/26/2015,2
abd_halim@unifi,PUJ,1/27/2015,1
abd_halim@unifi,PUJ,1/28/2015,1
