msan,115,215,315,415,515,615,715,815,915,1015,1115,1215
CBJ,87513,55354,53457,104463,66081,65815,58786,77954,38571,30555,0,0
PUJ,82937,96373,97385,110628,83788,95665,77549,109881,53926,45054,0,0
SKT,23366,26221,26541,33236,25639,29454,25825,33568,17383,13727,0,0
